model,dataset,variant,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,num_samples
dino,ham,Original,dino_Original,0.9070929070929071,0.8535603337649373,0.8242329048675467,0.8360512822117137,0.907268335184001,1001
dino,ham,GLIDE,dino_GLIDE,0.9070929070929071,0.874856872539196,0.8467278487910621,0.8589767604229731,0.9072518407688946,1001
dino,atlas_isic,Original,dino_Original,0.8835758835758836,0.8769484370179187,0.8555477674533771,0.8616872130734615,0.8807134485978849,962
dino,atlas_isic,GLIDE,dino_GLIDE,0.8721413721413721,0.8623738305146749,0.8530528348394655,0.8540333927034399,0.8690711129026436,962
swin,ham,Original,swin_Original,0.8721278721278721,0.8572819667788343,0.7881499888084612,0.794530844337492,0.876968807127303,1001
swin,ham,GLIDE,swin_GLIDE,0.8671328671328671,0.8386843966536733,0.7784458049602913,0.7787823316376514,0.8708871457010063,1001
swin,atlas_isic,Original,swin_Original,0.893970893970894,0.8848214149724789,0.8723748538452706,0.8756041194724595,0.8915711089087002,962
swin,atlas_isic,GLIDE,swin_GLIDE,0.8752598752598753,0.8777920028442388,0.8583834889115703,0.8632914428348746,0.8753597559198816,962
vit,ham,Original,vit_Original,0.8931068931068931,0.8218645089181781,0.7960135779714357,0.8069273949802849,0.8903327252820193,1001
vit,ham,GLIDE,vit_GLIDE,0.8851148851148851,0.8139322553136933,0.7880892083262584,0.7984188973751242,0.881982550583325,1001
vit,atlas_isic,Original,vit_Original,0.8139293139293139,0.8115604776197264,0.7940005559057349,0.7987846289937579,0.8117951237602735,962
vit,atlas_isic,GLIDE,vit_GLIDE,0.8004158004158004,0.7933226048075308,0.7722807085077873,0.7765091070998628,0.797688885004196,962
