model,dataset,variant,model_key,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,num_samples
dino,ham,Original,dino_Original,0.9070929070929071,0.8535603337649373,0.8242329048675467,0.8360512822117137,0.907268335184001,1001
dino,ham,GLIDE,dino_GLIDE,0.9050949050949051,0.8705788763198079,0.8275116119277665,0.8446846868804146,0.9050480339254082,1001
dino,atlas_isic,Original,dino_Original,0.8835758835758836,0.8769484370179187,0.8555477674533771,0.8616872130734615,0.8807134485978849,962
dino,atlas_isic,GLIDE,dino_GLIDE,0.8773388773388774,0.8596679277827641,0.8575567574565578,0.8573675133773702,0.8744323883574401,962
swin,ham,Original,swin_Original,0.8721278721278721,0.8572819667788343,0.7881499888084612,0.794530844337492,0.876968807127303,1001
swin,ham,GLIDE,swin_GLIDE,0.8521478521478522,0.8297223875601946,0.7953243947474476,0.7946199019989233,0.8626621893253327,1001
swin,atlas_isic,Original,swin_Original,0.893970893970894,0.8848214149724789,0.8723748538452706,0.8756041194724595,0.8915711089087002,962
swin,atlas_isic,GLIDE,swin_GLIDE,0.8918918918918919,0.8778639747752639,0.8693930924928693,0.8713037100794806,0.8893893785641166,962
vit,ham,Original,vit_Original,0.8931068931068931,0.8218645089181781,0.7960135779714357,0.8069273949802849,0.8903327252820193,1001
vit,ham,GLIDE,vit_GLIDE,0.8931068931068931,0.8567789377502827,0.7851100306637745,0.8166906951573323,0.890126107409965,1001
vit,atlas_isic,Original,vit_Original,0.8139293139293139,0.8115604776197264,0.7940005559057349,0.7987846289937579,0.8117951237602735,962
vit,atlas_isic,GLIDE,vit_GLIDE,0.8191268191268192,0.8068323360413702,0.7882121234121732,0.7924725488764396,0.8163249809868071,962
