model,dataset,variant,accuracy,precision,recall,f1,weighted_f1
DinoV2,Atlas+ISIC,GLIDE,0.8721,0.8624,0.8531,0.854,0.8691
DinoV2,Atlas+ISIC,Original,0.8836,0.8769,0.8555,0.8617,0.8807
Swin,Atlas+ISIC,GLIDE,0.8753,0.8778,0.8584,0.8633,0.8754
Swin,Atlas+ISIC,Original,0.894,0.8848,0.8724,0.8756,0.8916
ViT,Atlas+ISIC,GLIDE,0.8004,0.7933,0.7723,0.7765,0.7977
ViT,Atlas+ISIC,Original,0.8139,0.8116,0.794,0.7988,0.8118
DinoV2,HAM10000,GLIDE,0.9071,0.8749,0.8467,0.859,0.9073
DinoV2,HAM10000,Original,0.9071,0.8536,0.8242,0.8361,0.9073
Swin,HAM10000,GLIDE,0.8671,0.8387,0.7784,0.7788,0.8709
Swin,HAM10000,Original,0.8721,0.8573,0.7881,0.7945,0.877
ViT,HAM10000,GLIDE,0.8851,0.8139,0.7881,0.7984,0.882
ViT,HAM10000,Original,0.8931,0.8219,0.796,0.8069,0.8903
